optimizer,learning_rate,dropout,units,test_acc,test_loss,train_time_sec
adam,0.001,0.3,128,0.4583333432674408,1.5638395547866821,84.74
adam,0.001,0.3,128,0.4479166567325592,1.624722957611084,89.74
adam,0.001,0.3,128,0.6666666865348816,1.1180005073547363,607.59
adam,0.001,0.3,128,0.6979166865348816,1.0831637382507324,511.81
adam,0.001,0.3,128,0.7135416865348816,0.8795649409294128,852.46
adam,0.01,0.3,128,0.1197916641831398,1378.21826171875,155.68
adam,0.01,0.3,128,0.3020833432674408,1.9945234060287476,42.11
adam,0.01,0.3,256,0.1041666641831398,328.45208740234375,153.76
adam,0.01,0.3,256,0.078125,2.280033588409424,43.99
adam,0.01,0.4,128,0.125,16.7305850982666,153.09
adam,0.01,0.4,128,0.1510416716337204,2.223932981491089,44.09
adam,0.01,0.4,256,0.125,712.866455078125,162.97
adam,0.01,0.4,256,0.171875,2.3054893016815186,44.78
adam,0.001,0.3,128,0.15625,2.3103113174438477,160.11
adam,0.001,0.3,128,0.4427083432674408,1.7455404996871948,45.48
adam,0.001,0.3,256,0.0833333358168602,2.303039789199829,156.1
adam,0.001,0.3,256,0.3385416567325592,1.8907442092895508,45.35
adam,0.001,0.4,128,0.1302083283662796,2.303173065185547,161.69
adam,0.001,0.4,128,0.2916666567325592,1.8421034812927246,44.91
adam,0.001,0.4,256,0.0885416641831398,2.304499387741089,160.14
adam,0.001,0.4,256,0.4375,1.7140412330627441,45.71
adam,0.0001,0.3,128,0.4322916567325592,1.717564582824707,164.85
adam,0.001,0.3,128,0.4739583432674408,1.4294146299362183,440.08
adam,0.001,0.3,128,0.09375,2.3006246089935303,492.91
adam,0.001,0.3,128,0.3125,1.9802004098892212,42.85
adam,0.001,0.3,256,0.25,1.919012188911438,42.62
adam,0.001,0.4,128,0.2239583283662796,2.008620023727417,43.6
adam,0.001,0.4,256,0.4635416567325592,1.6789029836654663,44.59
adam,0.0001,0.3,128,0.40625,1.7623486518859863,44.53
adam,0.0001,0.3,256,0.40625,1.6997874975204468,43.99
adam,0.0001,0.4,128,0.4166666567325592,1.9887800216674805,43.35
adam,0.001,0.3,128,0.65625,1.0431623458862305,1088.27
adam,0.001,0.3,256,0.640625,0.960046112537384,1073.85
adam,0.001,0.4,128,0.5104166865348816,1.4321316480636597,1063.31
adam,0.001,0.4,256,0.765625,0.7511031031608582,925.74
adam,0.0001,0.3,128,0.703125,0.8774032592773438,1037.83
adam,0.0001,0.3,256,0.6979166865348816,0.8728868365287781,1047.61
adam,0.0001,0.4,128,0.7291666865348816,0.9327330589294434,1034.33
adam,0.0001,0.4,256,0.6666666865348816,0.7896191477775574,1044.98
adam,1e-05,0.3,128,0.6145833134651184,1.3544859886169434,1032.76
adam,1e-05,0.3,256,0.640625,1.1815359592437744,1045.01
adam,1e-05,0.4,128,0.6302083134651184,1.3237253427505493,1033.07
adam,1e-05,0.4,256,0.625,1.317428708076477,1044.31
sgd,0.001,0.3,128,0.515625,1.4366358518600464,1053.05
sgd,0.001,0.3,256,0.6041666865348816,1.1449874639511108,1036.23
sgd,0.001,0.4,128,0.4114583432674408,1.756265640258789,1031.09
sgd,0.001,0.4,256,0.5729166865348816,1.3126745223999023,1035.07
sgd,0.0001,0.3,128,0.5364583134651184,1.5929492712020874,1031.54
sgd,0.0001,0.3,256,0.5520833134651184,1.4302629232406616,1036.73
sgd,0.0001,0.4,128,0.5364583134651184,1.6571141481399536,1033.72
sgd,0.0001,0.4,256,0.515625,1.459936261177063,1037.21
sgd,1e-05,0.3,128,0.4114583432674408,2.06892728805542,1032.3
sgd,1e-05,0.3,256,0.359375,2.051853656768799,1039.71
sgd,1e-05,0.4,128,0.4427083432674408,2.021731376647949,1034.84
sgd,1e-05,0.4,256,0.3802083432674408,2.0526235103607178,1041.07
rmsprop,0.001,0.3,128,0.6875,0.9011995792388916,1038.41
rmsprop,0.001,0.3,256,0.6458333134651184,0.9286124110221863,883.48
rmsprop,0.001,0.4,128,0.6458333134651184,1.1066330671310425,1059.48
rmsprop,0.001,0.4,256,0.671875,0.9451087117195129,1050.45
rmsprop,0.0001,0.3,128,0.75,0.8654792308807373,1046.22
rmsprop,0.0001,0.3,256,0.6927083134651184,0.912585973739624,1054.16
rmsprop,0.0001,0.4,128,0.7135416865348816,0.9141141772270203,1046.61
rmsprop,0.0001,0.4,256,0.7291666865348816,0.8771438002586365,1055.26
rmsprop,1e-05,0.3,128,0.609375,1.3247989416122437,1048.23
rmsprop,1e-05,0.3,256,0.6354166865348816,1.1836646795272827,1057.43
rmsprop,1e-05,0.4,128,0.65625,1.2860244512557983,1052.47
rmsprop,1e-05,0.4,256,0.6770833134651184,1.2596007585525513,1086.42
adam,0.001,0.3,128,0.0572916679084301,2.3043487071990967,548.77
adam,0.001,0.3,128,0.0885416641831398,2.302382230758667,782.49
